id,title,release_date,vote_average,vote_count,popularity,cast,genres,overview
1101383,The End of Oak Street,2026-08-12,6.457,269,202.1509,Anne Hathaway|Ewan McGregor|Christian Convery|Maisy Stella|Jordan Alexa Davis,Science Fiction|Mystery|Thriller,"After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings."
1108427,Moana,2026-07-08,6.041,209,194.8449,Catherine Lagaʻaia|Dwayne Johnson|Rena Owen|John Tui|Frankie Adams,Family|Fantasy|Comedy|Adventure,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people."
1275779,Disclosure Day,2026-06-10,7.458,2912,167.6166,Emily Blunt|Josh O'Connor|Colin Firth|Eve Hewson|Colman Domingo,Science Fiction|Thriller,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding."
1212763,Evil Dead Burn,2026-07-07,7.876,1185,153.2715,Souheila Yacoub|Tandi Wright|Hunter Doohan|Luciane Buchanan|Erroll Shand,Horror,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death."
82023,Hotel Desire,2011-12-07,6.171,155,138.4892,Saralisa Volm|Clemens Schick|Jan-Gregor Kremp|Herbert Knaup|Palina Rojinski,Drama|Romance,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass."
1081003,Supergirl,2026-06-24,6.8,1959,131.9168,Milly Alcock|Eve Ridley|Matthias Schoenaerts|Jason Momoa|David Krumholtz,Action|Adventure|Science Fiction,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice."
1083381,Backrooms,2026-05-27,7.1,2859,131.004,Chiwetel Ejiofor|Renate Reinsve|Finn Bennett|Lukita Maxwell|Mark Duplass,Horror|Mystery|Science Fiction,A strange doorway appears in the basement of a furniture showroom.
1003596,Avengers: Doomsday,2026-12-16,0.0,0,129.3192,Robert Downey Jr.|Chris Evans|Chris Hemsworth|Pedro Pascal|Paul Rudd,Science Fiction|Action|Adventure,Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.
687163,Project Hail Mary,2026-03-15,8.652,7199,125.0677,Ryan Gosling|Sandra Hüller|James Ortiz|Lionel Boyce|Milana Vayntrub,Science Fiction|Adventure,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction."
1273221,Scary Movie,2026-06-03,6.432,1675,121.2712,Marlon Wayans|Shawn Wayans|Anna Faris|Regina Hall|Olivia Rose Keegan,Comedy,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe."
